tag,source_path,case,softening,K0,N,block,dt,steps,epsilon_L2,epsilon_Linf,saturation_fraction
sweeps,D-appendix-technical/sweeps/summary_D4_N32_b4_soft1_K01.0.csv,smooth,True,1.0,32,4,0.03,80,0.009293812909900424,0.01395002619000548,0.228271484375
sweeps,D-appendix-technical/sweeps/summary_D4_N32_b4_soft1_K01.0.csv,rough,True,1.0,32,4,0.03,80,0.01447578307849451,0.01631341657226776,0.191162109375
sweeps,D-appendix-technical/sweeps/summary_D4_N32_b4_soft1_K01.0.csv,nonprojectable,True,1.0,32,4,0.03,80,0.0,0.0,1.0
