case,softening,K0,N,block,dt,steps,epsilon_L2,epsilon_Linf,saturation_fraction
smooth,True,1.0,24,4,0.03,80,0.009925390525508676,0.01600020827592276,0.22952835648148148
rough,True,1.0,24,4,0.03,80,0.014930568892340207,0.018957813730310906,0.19444444444444445
nonprojectable,True,1.0,24,4,0.03,80,0.0,0.0,1.0
